L1_Title,Impact.Rank|Q,QuestionText,AnswerRange,Answer|,RightNum,Commentary,TopQ
Organizational Decision Making,1,[123] I don't make an irreversible decision until I have to: I prize the optionality inherent in studying a problem and not acting until it is necessary.,1-TRUE <> 5-FALSE,5,1,"[123] This question is in alpha and will likely not discriminate even though its early returns are showing high Pvalues.    The theory is as follows:
Experienced leaders and decision-makers know that the timing of a decision can be as critical as the choice itself. All major decisions come with a hidden clock. It is up to the decision-maker to determine the ideal moment to make and execute the decision or face the unfavorable consequences associated with poor timing. Those repercussions can be severe. 

Every decision has an ideal window of time from which the advantages of the choice can be fully realized. Ideally, a decision is made at just the right time to fully address a problem or pursue an opportunity. Great decision timing takes full advantage of changes in the marketplace, organizational assets, key relationships, and strategic positioning. Knowing when a decision should be made is an instinct and skill good leaders develop over time. But there are a few principles that can fast-track this learning, even if they are not prescriptive.  

When it comes to addressing major issues, the best leaders don’t make a decision until they have to. They prize the optionality inherent in studying a problem and not acting on it until it is necessary.  The benefits of deliberately deferring the timing of the decision include acquiring more data and information, engaging important stakeholders more fully, and gaining more understanding of changes in the marketplace. Not surprisingly, the number one reason leaders make a poor decision is something they didn’t know. Giving the team a chance to learn as much as they can before pulling the trigger is always a good idea. This does not mean good decision-makers are indecisive. To the contrary. When they believe it is time to act, they do so vigorously. But they lean toward keeping their options open as much as they can. 

The adage that “problems don’t age well” still applies. The best leaders know that the moment the windows of opportunity and initiative begin to close, they must act. Moreover, when team members or others are hesitant or paralyzed to perform without the decision, then leaders know it is time to decide. The push and pull of keeping options open while not losing the opportunity to seize the moment is inherent in all good decision-making. Timing matters. A lot. Making a decision at the ideal time gives the choice the best prospect of creating a positive impact. 

Too soon or too late? That’s the question that worries great decision-makers every day. [Admired Leadership, ""Every Decision Has a Clock"", 9/4/24]","CohD,<.1%A"
Risking by Investing in Others,2,"[132/test/] When you see someone do exceptional work, which creates more followership:",1=praising them directly in the moment to reinforce the behavior <> 5=telling others connected to them about their excellence,1,5,"[132] If you have a low score here, check out the following and try 3rd party compliments:

When you praise someone directly, especially if you're their leader, there's often a ""but"" lurking somewhere. Even if you don't say it out loud, people brace for it. ""Great presentation, but slide 16 needs work."" Direct praise can also feel transactional - like you're managing their behavior rather than genuinely admiring what they did.

But when you tell someone else? That's different. If you didn't really believe they did something excellent, why would you tell a third party? You wouldn't. So when that praise travels back to them - and it always does, sometimes quickly, sometimes like a time-released vitamin - they see it as deeply sincere. You made them look good in front of someone who matters to them, and you did it when they weren't even in the room.

The real power is in how people interpret it. Third-party compliments signal that you're genuinely a fan - you're rooting for them, not just managing them. That builds followership in a way direct praise rarely does.

That said, this doesn't mean you never praise directly. When you see excellence, acknowledge it in the moment. But if you want to create real followership, make third-party compliments a routine. Look for opportunities to tell someone's colleague, their spouse, their friend about what they did well. It's one of the most powerful tools you have.",""
Risking by Investing in Others,3,"[95] While acknowledging that all situations are different, if I had to generalize, to help people improve, I prefer:",1-Delineating small changes they can make <> 5-Highlighting big changes they can make,5,1,"[95] Ambitious Goals Work for Teams But Not for Individual Habits:  Setting ambitious goals for a team or organization motivates people to perform and serves as a guide for leaders to invest the time, resources, and energy necessary to achieve them. 

Stretch goals, as they are often called, push team members to reach their highest potential. In many cases, even when the team doesn’t achieve what they set out to, results are amplified, and real progress is made. 

As the old quote goes, “Shoot for the moon. Even if you miss, you’ll land among the stars.”

But that lesson doesn’t apply to personal habits. In fact, setting audacious habit goals is the reason many people fail at them. As a rule, people underestimate the difficulty of achieving a habit goal or making a change. 

Because they believe attaining their goal or forming the new habit will be easier than it is, they set unrealistically high expectations. They then commit to the false hope of attaining an ambitious goal. Ironically, by committing to an unreachable target, they often reinforce the old habit and behavior.  

Think about the habit of eating and exercising differently to achieve weight loss. An ambitious goal set might be to lose 20 pounds and to exercise vigorously for 90 minutes five times a week. Sounds like a good idea, but, in fact, it will likely undermine the ability to lose any weight at all. 

The reason is the goal set is too ambitious and the person pursuing it will likely give up and fail after a few setbacks. The false hope of attaining an audacious goal almost ensures the person will return to the old habit and give up on making any change at all. Once people fail, they return and reinforce the old norm or habit. 

As simple as it sounds, the key is to set realistic and more easily attained habit goals and then stack the progress made on top of the next phase to achieve a desired change. In the example of weight loss, a five-pound target matched with diet differences and two days of vigorous exercise per week is more easily achievable. 

Smaller habit goals receive more effort and attention and motivate people to stay the course. Once achieved, a new realistic goal (lose five more pounds) can follow. 

Smaller, more realistic habit goals make it easier to track progress, accept critical feedback, and redirect efforts after a setback. They simply work more effectively to attain desired habit goals. The habit-busting fallacy of false hope by setting goals that are too ambitious needs to be avoided at all costs. Small, attainable habit goals set the best path toward success.  [Admired Leadership 4/21/24]",Pval
Deliberate Urgency,4,"[385] In any moment of decision, the best you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.",1-TRUE <> 5-FALSE,5,1,"[385] This quote, often attributed to Theodore Roosevelt, reveals a fundamental truth about leadership: the cost of inaction almost always exceeds the cost of wrong action.

When leaders make a decision - even a wrong one - they create movement, learning, and clarity. Wrong decisions provide immediate feedback. They show us what doesn't work. They create opportunities to adjust and improve. Most importantly, they maintain momentum.

Inaction, by contrast, is insidious. It masquerades as prudence but actually compounds problems. While it might feel safer to wait, delay usually makes issues harder to solve, not easier. Problems don't age well. Opportunities don't pause. Teams don't stay energized. The momentum that drives excellence slowly bleeds away.

The best leaders understand that their job isn't to make perfect decisions - it's to keep things moving forward. They know that most decisions can be corrected if wrong, but lost time and momentum can never be recovered. They choose action over analysis paralysis, movement over perfect information, and learning over waiting.

Perhaps most importantly, they recognize that choosing not to decide is itself a decision - usually the worst one possible.",""
Risking by Replacing Self,5,[81] I am not the one creating the urgency in any departments. Areas of the business arent dependent,1-TRUE <> 5-FALSE,4,1,"Here's why this standard matters: when urgency in an organization is primarily driven by the CEO or a few top leaders, it can create a culture of dependency and reactivity. Teams and departments may become accustomed to waiting for direction or motivation from above before springing into action. This can lead to bottlenecks, delays, and a lack of proactivity.

On the other hand, when urgency is inherent within each department and team - when it's driven by a shared understanding of priorities, a commitment to goals, and a sense of ownership at every level - the organization becomes far more nimble and responsive. People don't wait to be told what to do; they see what needs to be done and they act.

This kind of self-directed urgency is especially critical in today's fast-paced, unpredictable business environment. With change happening at an unprecedented rate, organizations need to be able to sense and respond to new challenges and opportunities in real-time. They can't afford to have teams waiting for top-down direction.  Moreover, when urgency comes from within, it tends to be more sustainable and authentic. It's not about short-term fire drills or artificial deadlines, but about a genuine commitment to achieving important goals and delivering value. This kind of intrinsic motivation can lead to higher levels of engagement, creativity, and performance.

Of course, as a leader, you still have a critical role to play in setting the overall direction, communicating priorities, and creating the conditions for success. But your goal should be to embed urgency into the fabric of the organization - to make it a part of the culture and mindset of every team.

This means clearly articulating the mission, vision, and strategies of the organization. It means setting ambitious but achievable goals and creating accountability for results. It means empowering teams to make decisions, take risks, and learn from failures. And it means celebrating and rewarding proactivity, initiative, and a bias toward action at every level.  Finally, it means understanding that urgency, for the most part, can not be taught.  Use DISC motitivators and urgency standards to choose  urgent lieutenants with  their own desire to make a difference and their own sense of responsibility for outcomes. And as a leader, you will then be able to focus on steering the ship and enabling success rather than constantly trying to light fires.","Pval,CohD,<.1%A"
Organizational Decision Making,6,[384] When multiple people are accountable to the same problem or outcome:,"1=Results are typically better (having several people focused on the same prize means someone will likely accomplish the goal) <> 5=Results are typically worse (without clear ownership, no one truly owns the result).",2,5,"[3483, 384]  When multiple people are accountable for the same outcome, results are typically worse, not better. This is because:
- When people don't have full ownership and autonomy, they tend to invest less effort and assume others will pick up the slack.
- This leads to a diffusion of responsibility and a lack of the care and drive that comes with true individual accountability.
- We've seen this play out in various settings - initiatives with many ""accountable"" parties often progress slowly and deliver lackluster results.

The solution is to structure collaboration around clear individual accountability:
- Each key piece of the work should have a single owner who is ultimately accountable for its success.
- This owner collaborates with others and seeks input, but they feel the full weight of responsibility to deliver.
- This combination of group effort and individual ownership leads to better outcomes and more reliable execution.

In sum, while the instinct to assign multiple people to important goals is common, the wiser approach is to clarify individual accountability within the context of collaboration. This subtle but critical shift can significantly improve results.",CohD
Risking by Pushing Extreme Accountability,7,[31] I resist being involved in the actual operation or process of getting things done until I have,1-TRUE <> 5-FALSE,4,1,"[31]  The corrollary oftens hold the key.   While it's critical to be hands off and eyes one, it's even more important to put your hands on all the way when they need to be","Pval,CohD"
Risking by Pushing Extreme Accountability,8,"[34] There are people on my team who, if I'm told they're leaving, I won't fight hard to keep.",1-TRUE <> 5-FALSE,2,5,"[34] Your response to someone leaving tells you everything about whether they should have already left. If your first reaction to hearing someone might depart is relief rather than concern, you've been tolerating performance or behavior that doesn't meet your standards. Every day you keep someone you wouldn't fight to keep, you're making an active choice that impacts your entire team.

Your strongest performers see exactly who you tolerate on the team and calibrate their own standards accordingly. They watch how long you take to address performance issues. They notice who you keep despite reservations. When you retain people you wouldn't fight to keep, you're not just accepting individual mediocrity - you're establishing it as an acceptable standard for everyone.

This principle applies at every level of your organization. The notion that certain roles ""don't require talent"" is a dangerous myth that undermines organizational excellence. Every role, from the most senior to the most junior, shapes your culture and impacts your results. A mediocre performer in what you consider a ""low level"" role doesn't just do their own job poorly - they lower standards across the organization, demoralize their colleagues, and require others to compensate for their shortcomings. Excellence isn't about hierarchy - it's about impact. And everyone has impact.

The best leaders don't wait for resignations to make tough talent decisions. They take action as soon as they realize someone isn't meeting the standard. This isn't about being harsh - it's about being clear and honest. It's about helping people find roles where they can truly succeed, whether inside or outside your organization. It's also about respecting your high performers by ensuring everyone on the team pulls their weight.

If you have people on your team you wouldn't fight to keep, the question isn't i's why they're still there.",Pval
Risking by Pushing Extreme Accountability,9,"[33] If I could trade the bottom 10 percent of performers for new hires, my organization would improve.",1-TRUE <> 5-FALSE,2,5,"[33] The best organizations aren't built on a ""replace the bottom 10%"" mindset. That's a basketball approach where you're constantly trading for better talent. Business is more like crew - it's about building a team that rows together, where everyone commits to constant improvement and pulls their weight.

When you have people performing at the bottom, the question isn't whether you could replace them with better talent. The question is whether they share the team's commitment to growth and excellence. If they do, your job as a leader is to develop them, support them, and help them improve. If they don't share this commitment, then the issue isn't their current performance - it's their mindset about improvement.

Great teams have a relentless commitment to getting better every day. This commitment to growth becomes the standard, not any particular performance level. Anyone willing to embrace this standard belongs on the team, regardless of where they are on the performance curve. But this means real commitment - demonstrated through actions, not just words. It means showing up every day ready to learn, grow, and contribute more.

The mark of excellence isn't having no bottom performers - it's having no one who's satisfied with their current performance level, regardless of where they stand. When everyone on your team shares this commitment to improvement, the question of trading out the bottom 10% becomes irrelevant. Instead, hold the standard that ""A players and below have to get better to have a seat on this team"" -- ie ""especially the best get better"".",<.1%A
Not Pleasing,10,[602] Followers: What matters is how much:,1-My followers respect me <> 5-I respect my followers,2,5,"[602] This question gets to the heart of what leadership is all about. Of course, both are important - as a leader, you want to be respected by your team, and you also want to show respect to your team.  However, especially when it comes to leading leaders, what matters most is for a leader to respect their team rather than to be respected by their team.

Here's why: when you as a leader consistently demonstrate respect for your team - when you value their opinions, recognize their contributions, and treat them with dignity and care - it sets a powerful tone. It creates a culture of mutual respect and appreciation. And in that kind of environment, the respect for the leader often naturally follows.   Perhaps even more importantly, it also requires you to build a team you admire and to not tolerate behavior below your standards.

But if a leader is focused primarily on being respected, on asserting their authority and demanding deference, it erodes team morale and engagement. People may comply out of obligation, but they won't be inspired to give their best.

The most admired leaders understand this. They know that their role is to serve and empower their team, not to be served by them. They prioritize showing respect over receiving it, and in doing so, they often end up earning the deepest respect anyway.  They also understand that followers will always be more important to leaders than leaders are to followers, and so they are much more concerned with having whom they admire. 

And then to be a world-class zen master in this, you go 1 step further: admire others in a way that's disconnected from their performance.   This routine is powerful because it sends a clear message that you value them as a person, not just for what they achieve, noticing and appreciating who they are, not just what they do. It's a way of seeing and valuing the whole person, and it can unlock so much potential and engagement on a team.

True leadership influence comes not from seeking others' respect, but from genuinely respecting and valuing them first. It's not about being respected as a leader, but about how deeply you respect those you lead.","Pval,CohD"
